Index,affected_asn,affected_prefix,domain,edit_distance,end_time,event_id,event_type,prefix_list,start_time,status,suspicious_links,suspicious_links_nation,vp_count
343,3303,2001:67c:5dc::/48,,169.29123569121046,1762353667000,ARES-HIJACK-1762353301-3303-2001:67c:5dc::/48-AGGREGATED,Finish Path Hijack,2001:67c:5dc::/48,1762353301000,Finish,3303;29632,CH;GI,1
344,8369,195.114.122.0/24,,284.35503630313474,1762351996000,ARES-HIJACK-1762351064-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762351064000,Finish,8369;41327,RU;IT,1
345,265010,2804:3160::/32,,208.59506867283974,1762351585000,ARES-HIJACK-1762350755-265010-2804:3160::/32-AGGREGATED,Finish Path Hijack,2804:3160::/32,1762350755000,Finish,262462;37721,BR;BF,2
346,39735,92.240.220.0/24,,487.4650170226836,1762349669000,ARES-HIJACK-1762349330-39735-92.240.220.0/24-AGGREGATED,Finish Path Hijack,92.240.220.0/24,1762349330000,Finish,39735;6939,RU;US,6
347,41557,79.125.176.0/21,,261.1768287895771,1762346811000,ARES-HIJACK-1762346179-41557-79.125.176.0/21-AGGREGATED,Finish Path Hijack,79.125.176.0/21;62.162.176.0/21;62.162.184.0/21;62.162.212.0/24,1762346179000,Finish,34772;6821,MK;MK,2
348,134840,116.206.193.0/24,,323.6818410358233,1762347696000,ARES-HIJACK-1762345447-134840-116.206.193.0/24-AGGREGATED,Finish Path Hijack,116.206.193.0/24;121.46.71.0/24,1762345447000,Finish,58453;45558,HK;MM,6
349,8369,195.114.122.0/24,,188.19523840487955,1762338840000,ARES-HIJACK-1762337977-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762337977000,Finish,8369;41327,RU;IT,1
350,43766,93.191.104.0/24,,373.30565054178896,1762337752000,ARES-HIJACK-1762337191-43766-93.191.104.0/24-AGGREGATED,Finish Path Hijack,93.191.104.0/24;93.191.105.0/24;93.191.106.0/24,1762337191000,Finish,3356;35753,US;SA,7
351,46071,150.129.119.0/24,,256.12722096210763,1762337136000,ARES-HIJACK-1762336793-46071-150.129.119.0/24-AGGREGATED,Finish Path Hijack,150.129.119.0/24,1762336793000,Finish,57187;6939,AE;US,4
352,327697,164.160.68.0/22,trm.re,192.65856900279923,1762335853000,ARES-HIJACK-1762335281-327697-164.160.68.0/22-AGGREGATED,Finish Path Hijack,164.160.68.0/22,1762335281000,Finish,327697;3356,RE;US,3
353,4761,114.10.104.0/24,,199.3049497557722,1762330800000,ARES-HIJACK-1762324626-4761-114.10.104.0/24-AGGREGATED,Finish Path Hijack,114.10.104.0/24;114.10.105.0/24;114.10.36.0/24,1762324626000,Finish,4761;35280,ID;FR,1
354,27951,2801:17:9800::/48,,253.74362377705458,1762323842000,ARES-HIJACK-1762322902-27951-2801:17:9800::/48-AGGREGATED,Finish Path Hijack,2801:17:9800::/48;2801:1c:f800::/48;2801:1e:f800::/48,1762322902000,Finish,18678;9002,CO;GB,2
355,12963,91.218.72.0/24,,188.9134098692951,1762318497000,ARES-HIJACK-1762317597-12963-91.218.72.0/24-AGGREGATED,Finish Path Hijack,91.218.72.0/24;91.218.73.0/24;91.218.74.0/24;91.218.75.0/24,1762317597000,Finish,12963;174,UA;US,9
356,12963,91.218.72.0/24,,183.30013137871447,1762315497000,ARES-HIJACK-1762314596-12963-91.218.72.0/24-AGGREGATED,Finish Path Hijack,91.218.72.0/24;91.218.73.0/24;91.218.74.0/24;91.218.75.0/24,1762314596000,Finish,12963;174,UA;US,9
357,52251,186.1.240.0/21,tuvideo.tv,2537.710030971779,1762315782000,ARES-HIJACK-1762311226-52251-186.1.240.0/21-AGGREGATED,Finish Path Hijack,186.1.240.0/21;190.181.96.0/19;186.1.224.0/23;186.1.226.0/23;186.1.228.0/23;186.1.230.0/23;186.1.232.0/23;186.1.234.0/23;186.1.236.0/23;186.1.238.0/23,1762311226000,Finish,266725;3356,AR;US,45
358,8492,2a05:a400::/29,,183.97539214733115,1762311489000,ARES-HIJACK-1762310964-8492-2a05:a400::/29-AGGREGATED,Finish Path Hijack,2a05:a400::/29,1762310964000,Finish,8492;208972,RU;TR,1
359,8369,195.114.122.0/24,,283.6555470863941,1762306871000,ARES-HIJACK-1762305948-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762305948000,Finish,8369;41327,RU;IT,1
360,198913,2a03:d400::/32,babiel.com;bmz.de,627.9720847215966,1762361148000,ARES-HIJACK-1762305187-198913-2a03:d400::/32-AGGREGATED,Finish Path Hijack,2a03:d400::/32,1762305187000,Finish,198913;6939,DE;US,10
361,30103,2620:123:2041::/48,,535.0636545884702,1762297999000,ARES-HIJACK-1762297653-30103-2620:123:2041::/48-AGGREGATED,Finish Path Hijack,2620:123:2041::/48,1762297653000,Finish,30103;56662,US;PL,1
362,264013,187.120.176.0/20,microdata.net.br,765.753471606071,1762301094000,ARES-HIJACK-1762297437-264013-187.120.176.0/20-AGGREGATED,Finish Path Hijack,187.120.176.0/20;187.120.176.0/21;187.120.184.0/21,1762297437000,Finish,262493;6939,;US,5
363,20012,168.158.0.0/16,digitalf.com;regretmono.com;cloudnowtp.com;realequable.com;flatcurse.com;vpsnewsone.com;swlink.net;signaturehostings.com;vpsstoragenow.com;artyorganic.com;chillercity.com;fangfoxy.com;hostingvibeone.com;tricbitperk.com;bestcloudone.com;interwrx.com;cloudonenow.com;onehostingnow.com;hostingchristmas.com;hugedivulge.com;wisedeluge.com,1150.625994077997,1762383020000,ARES-HIJACK-1762293355-20012-168.158.0.0/16-AGGREGATED,Finish Path Hijack,168.158.0.0/16;168.158.100.0/22;168.158.12.0/22;168.158.148.0/24;168.158.149.0/24;168.158.16.0/22;168.158.172.0/22;168.158.24.0/22;168.158.96.0/22,1762293355000,Finish,20012;174,US;US,18
364,268097,2804:57f4:8000::/33,,1294.869447182637,1762330253000,ARES-HIJACK-1762290833-268097-2804:57f4:8000::/33-AGGREGATED,Finish Path Hijack,2804:57f4:8000::/33;2804:57f4:810::/44;2804:57f4::/33,1762290833000,Finish,271689;6939,BR;US,22
365,55666,119.2.55.0/24,sami.co.id,221.4985870809485,1762282273000,ARES-HIJACK-1762279420-55666-119.2.55.0/24-AGGREGATED,Finish Path Hijack,119.2.55.0/24,1762279420000,Finish,56258;136106,ID;ID,2
366,198057,2a01:e281:ab11::/48,,162.12859894176668,1762436985000,ARES-HIJACK-1762276836-198057-2a01:e281:ab11::/48-AGGREGATED,Finish Path Hijack,2a01:e281:ab11::/48,1762276836000,Finish,214331;174,BR;US,2
367,37187,2c0f:fd50::/32,skyband.mw,179.78455533718545,1762332698000,ARES-HIJACK-1762275022-37187-2c0f:fd50::/32-AGGREGATED,Finish Path Hijack,2c0f:fd50::/32,1762275022000,Finish,37187;6939,MW;US,15
368,264013,187.120.176.0/20,microdata.net.br,1757.9759076600362,1762274421000,ARES-HIJACK-1762273537-264013-187.120.176.0/20-AGGREGATED,Finish Path Hijack,187.120.176.0/20;187.120.176.0/21;187.120.184.0/21,1762273537000,Finish,262493;6939,;US,6
369,42313,79.106.64.0/24,gjykata.gov.al,565.9130689835713,1762339165000,ARES-HIJACK-1762272394-42313-79.106.64.0/24-AGGREGATED,Finish Path Hijack,79.106.64.0/24,1762272394000,Finish,42313;1299,AL;SE,20
370,42313,185.171.146.0/23,,203.7132957944483,1762345922000,ARES-HIJACK-1762270392-42313-185.171.146.0/23-AGGREGATED,Finish Path Hijack,185.171.146.0/23,1762270392000,Finish,42313;1299,AL;SE,9
371,12963,91.218.72.0/24,,175.39175012899705,1762268994000,ARES-HIJACK-1762268093-12963-91.218.72.0/24-AGGREGATED,Finish Path Hijack,91.218.72.0/24;91.218.73.0/24;91.218.74.0/24;91.218.75.0/24,1762268093000,Finish,12963;174,UA;US,9
372,266433,2804:37bc::/32,,299.4657339463949,1762286789000,ARES-HIJACK-1762266428-266433-2804:37bc::/32-AGGREGATED,Finish Path Hijack,2804:37bc::/32,1762266428000,Finish,262343;6939,BR;US,3
373,200242,2a14:6f42:1913::/48,,215.57847389487108,1762265999000,ARES-HIJACK-1762265454-200242-2a14:6f42:1913::/48-AGGREGATED,Finish Path Hijack,2a14:6f42:1913::/48,1762265454000,Finish,200242;6939,DE;US,39
374,15695,2a00:cb8:31::/48,,278.2881331502971,1762272349000,ARES-HIJACK-1762262530-15695-2a00:cb8:31::/48-AGGREGATED,Finish Path Hijack,2a00:cb8:31::/48;2a00:cb8:971::/48;2a0c:5900:1000::/36,1762262530000,Finish,15695;50673,NL;NL,3
375,28634,201.62.64.0/20,life.net.br;unimar.br;life.com.br,273.28403788051884,1762291206000,ARES-HIJACK-1762260102-28634-201.62.64.0/20-AGGREGATED,Finish Path Hijack,201.62.64.0/20;177.105.128.0/20;179.96.128.0/20;179.96.144.0/20;189.90.96.0/20;201.62.80.0/20,1762260102000,Finish,28220;262493,BR;,2
376,20940,23.203.174.0/24,,2877.322193338702,1762258843000,ARES-HIJACK-1762258062-20940-23.203.174.0/24-AGGREGATED,Finish Path Hijack,23.203.174.0/24,1762258062000,Finish,137955;134840,MM;MM,45
377,134840,116.206.193.0/24,,355.37582235631356,1762331939000,ARES-HIJACK-1762257293-134840-116.206.193.0/24-AGGREGATED,Finish Path Hijack,116.206.193.0/24;121.46.71.0/24,1762257293000,Finish,58453;45558,HK;MM,6
378,25625,192.33.172.0/24,,162.5539201957555,1762275410000,ARES-HIJACK-1762254104-25625-192.33.172.0/24-AGGREGATED,Finish Path Hijack,192.33.172.0/24;216.25.235.0/24;69.71.139.0/24,1762254104000,Finish,6939;40300,US;US,2
379,32787,2.21.119.0/24,,317.64296337627286,1762294495000,ARES-HIJACK-1762252792-32787-2.21.119.0/24-AGGREGATED,Finish Path Hijack,2.21.119.0/24,1762252792000,Finish,32787;174,US;US,5
380,32787,2.23.128.0/23,,254.65006803071418,1762294425000,ARES-HIJACK-1762251996-32787-2.23.128.0/23-AGGREGATED,Finish Path Hijack,2.23.128.0/23,1762251996000,Finish,32787;174,US;US,4
381,37187,2c0f:fd50::/32,skyband.mw,179.78455533718545,1762266425000,ARES-HIJACK-1762250089-37187-2c0f:fd50::/32-AGGREGATED,Finish Path Hijack,2c0f:fd50::/32,1762250089000,Finish,37187;6939,MW;US,15
382,8369,195.114.122.0/24,,265.2561061579729,1762239521000,ARES-HIJACK-1762238624-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762238624000,Finish,8369;41327,RU;IT,1
383,56099,103.89.238.0/23,,167.4064953493435,1762325013000,ARES-HIJACK-1762236931-56099-103.89.238.0/23-AGGREGATED,Finish Path Hijack,103.89.238.0/23,1762236931000,Finish,56099;6939,PH;US,5
384,2018,2001:4200::/32,mirror.ac.za;async.org.za;eduroam.ac.za;safire.ac.za;tenet.ac.za;whois.ac.za,248.13513909673404,1762243226000,ARES-HIJACK-1762236497-2018-2001:4200::/32-AGGREGATED,Finish Path Hijack,2001:4200::/32;2001:4200:3020::/48;2001:4200:48::/48;2001:4200:597::/48;2001:4200:3200::/44;2001:4200:3200::/48;2001:4200:3400::/48;2001:4200:389::/48;2001:4200:4a::/48;2001:4200:4b::/48;2001:4200:7000::/48;2001:4200:7800::/48;2001:4200:8000::/44,1762236497000,Finish,2018;9002,ZA;GB,2
385,8369,195.114.122.0/24,,264.5550539244181,1762234486000,ARES-HIJACK-1762233548-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762233548000,Finish,8369;41327,RU;IT,1
386,24187,27.131.162.0/24,,187.7794105066699,1762236177000,ARES-HIJACK-1762229391-24187-27.131.162.0/24-AGGREGATED,Finish Path Hijack,27.131.162.0/24,1762229391000,Finish,45430;3356,TH;US,2
387,131745,2400:85e0:1::/48,,193.5976419300118,1762250303000,ARES-HIJACK-1762227887-131745-2400:85e0:1::/48-AGGREGATED,Finish Path Hijack,2400:85e0:1::/48;2400:85e0:2::/48;2400:85e0:3::/48;2400:85e0:4::/48,1762227887000,Finish,131745;35280,ID;FR,1
388,8369,195.114.122.0/24,,162.51413669030552,1762221299000,ARES-HIJACK-1762220440-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762220440000,Finish,8369;41327,RU;IT,1
389,37009,41.219.64.0/18,gipf.com.na;nbc.na;mtc.com.na,172.94576925812663,1762215601000,ARES-HIJACK-1762215174-37009-41.219.64.0/18-AGGREGATED,Finish Path Hijack,41.219.64.0/18;41.63.192.0/18,1762215174000,Finish,37009;9930,NA;MY,1
390,54133,205.137.251.0/24,hostingsystem.xyz,185.8648255886293,1762217753000,ARES-HIJACK-1762214152-54133-205.137.251.0/24-AGGREGATED,Finish Path Hijack,205.137.251.0/24;104.218.61.0/24,1762214152000,Finish,54133;58057,CA;CH,1
391,4601,147.189.223.0/24,,365.99060547932805,1762211404000,ARES-HIJACK-1762210995-4601-147.189.223.0/24-AGGREGATED,Finish Path Hijack,147.189.223.0/24,1762210995000,Finish,4601;9930,GR;MY,1
392,8369,195.114.122.0/24,,162.51413669030552,1762211251000,ARES-HIJACK-1762210326-8369-195.114.122.0/24-AGGREGATED,Finish Path Hijack,195.114.122.0/24,1762210326000,Finish,8369;41327,RU;IT,1
393,37228,197.243.84.0/22,,445.3114806745558,1762321536000,ARES-HIJACK-1762210206-37228-197.243.84.0/22-AGGREGATED,Finish Path Hijack,197.243.84.0/22,1762210206000,Finish,37273;33765,UG;TZ,31
394,37228,197.243.84.0/22,,428.2313940497525,1762206906000,ARES-HIJACK-1762205459-37228-197.243.84.0/22-AGGREGATED,Finish Path Hijack,197.243.84.0/22,1762205459000,Finish,37273;33765,UG;TZ,31
