Index,Description,attacker,data-plane-detection,detail_param,duration,end_time,event_type,example_prefix,hijack_as_percent,level,level_reason,prefix_list,prefix_num,start_time,victim
255,Victim:RO/AS 9009 (M247)<br> Attacker:US/AS 13335 (CLOUDFLARENET),13335,Low Possibility,[object Object],145729080,1750958387880,Possible SubHijack,<div>prefix: 104.245.240.0/22</div> <div>subprefix: 104.245.243.0/24</div>,65.91,low,,104.245.243.0/24;104.245.240.0/22,1,1750812658800,9009
256,Victim:GB/AS 48266 (AS-CATIXS)<br> Attacker:US/AS 398704 (STACKSINC-BACKBONE),398704,Not done,[object Object],30337010,1727883277820,Possible SubHijack,<div>prefix: 2a0e:aa07:4100::/40</div> <div>subprefix: 2a0e:aa07:41b0::/44</div>,47.54,low,,2a0e:aa07:41b0::/44;2a0e:aa07:4100::/40,1,1727852940810,48266
257,Victim:US/AS 400619 (AROSS-AS)<br> Attacker:HK/AS 55933 (CLOUDIE-AS-AP),55933,Not Hijacking,[object Object],603580,1740545706030,Possible SubHijack,<div>prefix: 38.12.32.0/21</div> <div>subprefix: 38.12.36.0/23</div>,96.97,low,,38.12.36.0/23;38.12.32.0/21,1,1740545102450,400619
258,Victim:IR/AS 50810 (Mobinnet-AS)<br> Attacker:GR/AS 35372 (DataCom),35372,No Result,[object Object],10873239260,1761186551800,Possible SubHijack,<div>prefix: 46.36.102.0/23</div> <div>subprefix: 46.36.103.0/24</div>,97.22,low,,46.36.103.0/24;46.36.102.0/23;46.36.103.0/24;46.36.102.0/23,2,1750313312540,50810
259,Victim:US/AS 834 (IPXO)<br> Attacker:HK/AS 202662 (AS-HYTRON),202662,Low Possibility,[object Object],139553530,1753317505270,Possible SubHijack,<div>prefix: 157.254.20.0/22</div> <div>subprefix: 157.254.23.0/24</div>,86.44,low,,157.254.23.0/24;157.254.20.0/22,1,1753177951740,834
260,Victim:PE/AS 266732 ()<br> Attacker:PS/AS 47253 (AS-BNETSET),47253,High Possibility,[object Object],56859300,1739179511820,Possible SubHijack,<div>prefix: 204.157.72.0/22</div> <div>subprefix: 204.157.74.0/24</div>,9.72,low,,204.157.74.0/24;204.157.72.0/22;204.157.72.0/24;204.157.72.0/22,2,1739122652520,266732
261,Victim:GB/AS 8851 (EDGE)<br> Attacker:GB/AS 209336 (GBWS),209336,Low Possibility,[object Object],44886690,1759089305020,Possible SubHijack,<div>prefix: 89.213.48.0/20</div> <div>subprefix: 89.213.62.0/24</div>,94.64,low,,89.213.62.0/24;89.213.48.0/20,1,1759044418330,8851
262,Victim:US/AS 62943 (AS62943-BLUEBIRD-NETWORK)<br> Attacker:US/AS 16604 (FWB-NE),16604,No Result,[object Object],18526000,1758865720000,Possible SubHijack,<div>prefix: 199.21.94.0/23</div> <div>subprefix: 199.21.94.0/24</div>,93.68,low,,199.21.94.0/24;199.21.94.0/23,1,1758847194000,62943
263,Victim:US/AS 54801 (ZILLION-NETWORK)<br> Attacker:DE/AS 51396 (PFCLOUD),51396,Not done,[object Object],52165710,1750670457820,Possible SubHijack,<div>prefix: 154.213.176.0/20</div> <div>subprefix: 154.213.188.0/24</div>,28.17,low,,154.213.188.0/24;154.213.176.0/20,1,1750618292110,54801
264,Victim:US/AS 22773 (ASN-CXA-ALL-CCI-22773-RDC)<br> Attacker:IR/AS 215892 (Pooyeshaxe-ir),215892,Not done,[object Object],64057150,1720862779160,Possible SubHijack,<div>prefix: 185.151.236.0/22</div> <div>subprefix: 185.151.239.0/24</div>,94.44,low,,185.151.239.0/24;185.151.236.0/22,1,1720798722010,22773
265,Victim:US/AS 54600 (PEG-SV)<br> Attacker:US/AS 21859 (ZEN-ECN),21859,Not Hijacking,[object Object],22619070,1757084560840,Possible SubHijack,<div>prefix: 38.28.244.0/22</div> <div>subprefix: 38.28.246.0/24</div>,97.87,middle,54600 is Cloud|IDC|CDN or top content provider.,38.28.246.0/24;38.28.244.0/22,1,1757061941770,54600
266,Victim:US/AS 834 (IPXO)<br> Attacker:GB/AS 208949 (hbing-as),208949,Not done,[object Object],87000,1712046800000,Possible SubHijack,<div>prefix: 109.110.162.0/23</div> <div>subprefix: 109.110.162.0/24</div>,39.77,low,,109.110.162.0/24;109.110.162.0/23;109.110.163.0/24;109.110.162.0/23,2,1712046713000,834
267,Victim:DE/AS 12586 (ASGHOSTNET)<br> Attacker:/AS 209874 (),209874,No Result,[object Object],56895370,1748623172190,Possible SubHijack,<div>prefix: 185.13.156.0/22</div> <div>subprefix: 185.13.156.0/24</div>,7.58,low,,185.13.156.0/24;185.13.156.0/22,1,1748566276820,12586
268,Victim:US/AS 7018 (ATT-INTERNET4)<br> Attacker:US/AS 401152 (ADCIL-ASN-01),401152,Not Hijacking,[object Object],603600,1739307717680,Possible SubHijack,<div>prefix: 166.0.240.0/20</div> <div>subprefix: 166.0.255.0/24</div>,45.78,low,,166.0.255.0/24;166.0.240.0/20,1,1739307114080,7018
269,Victim:BR/AS 266368 ()<br> Attacker:BR/AS 264059 (),264059,Low Possibility,[object Object],2861910,1764796357470,Possible SubHijack,<div>prefix: 170.80.44.0/22</div> <div>subprefix: 170.80.46.0/24</div>,36.14,low,,170.80.46.0/24;170.80.44.0/22,1,1764793495560,266368
270,Victim:US/AS 398704 (STACKSINC-BACKBONE)<br> Attacker:US/AS 6079 (RCN-AS),6079,Not Hijacking,[object Object],39622710,1739796984270,Possible SubHijack,<div>prefix: 139.190.40.0/21</div> <div>subprefix: 139.190.44.0/22</div>,13.89,low,,139.190.44.0/22;139.190.40.0/21,1,1739757361560,398704
271,Victim:BR/AS 263980 ()<br> Attacker:AO/AS 37468 (ANGOLA-CABLES),37468,Low Possibility,[object Object],1901723000,1724114325000,Possible SubHijack,<div>prefix: 168.227.18.0/23</div> <div>subprefix: 168.227.18.0/24</div>,78.95,low,,168.227.18.0/24;168.227.18.0/23;168.227.18.0/24;168.227.18.0/23,2,1722212602000,263980
